Name,Class,Lv,HP,S/M,Skl,Spd,Lck,Def,Res,Con,Mov,Affin,Weapon ranks
Allen,Cavalier,1,21,7,4,6,3,6,0,9,7,['Fire'],"['E Sword', 'D Lance']"
Astohl,Thief,10,25,7,8,15,11,7,3,8,6,['Dark'],['C Sword']
Barth,Knight,9,25,10,6,5,2,14,1,16,4,['Ice'],['C Lance']
Bartre,Warrior,2,48,22,11,10,14,10,3,14,6,['Thunder'],"['A Axe', 'D Bow']"
Bors,Knight,1,20,7,4,3,4,11,0,14,4,['Wind'],['C Lance']
Brunya,Sage,20,38,23,18,18,17,18,25,6,6,,"['A Staff', 'A Anima']"
Cath,Thief,5,16,3,7,11,8,2,1,5,6,['Anima'],['E Sword']
Cath (HM),Thief,5,20,3,11,15,12,2,3,5,6,['Anima'],['E Sword']
Cecilia,Valkyria,1,30,11,7,10,10,7,13,6,8,['Anima'],"['C Staff', 'A Anima']"
Chad,Thief,1,16,3,3,10,4,2,0,5,6,['Thunder'],['E Sword']
Clarine,Troubadour,1,15,2,5,9,8,2,5,5,7,['Thunder'],['D Staff']
Dayan,Nomadic Trooper,12,43,14,16,20,12,10,12,9,8,['Anima'],"['C Sword', 'A Bow']"
Dieck,Mercenary,5,26,9,12,10,5,6,1,13,5,['Thunder'],['C Sword']
Dorothy,Archer,3,19,5,6,6,3,4,2,7,5,['Fire'],['D Bow']
Douglas,General,8,46,19,13,8,11,20,5,17,5,['Thunder'],"['A Lance', 'A Axe']"
Echidna,Hero,1,35,13,19,18,6,8,7,9,6,['Ice'],"['C Sword', 'B Axe']"
Eliwood,Paladin,20,48,25,20,22,14,24,15,11,8,['Anima'],"['A Sword', 'S Lance', 'C Axe']"
Ellen,Priest,2,16,1,6,8,8,0,6,4,5,['Wind'],['D Staff']
Elphin,Bard,1,15,1,3,10,11,4,1,6,5,['Light'],
Fa,Mamkute,1,16,2,2,3,7,2,6,1,5,['Light'],
Fir,Myrmidon,1,19,6,9,10,3,3,1,5,5,['Fire'],['D Sword']
Fir (HM),Myrmidon,1,25,9,12,13,5,4,2,5,5,['Fire'],['D Sword']
Gale,Wyvern Lord,18,49,22,15,13,11,22,14,12,8,['Ice'],"['A Sword', 'A Lance']"
Garret,Berserker,1,49,17,13,10,12,9,4,13,6,['Wind'],['C Axe']
Garret (HM),Berserker,1,55,21,16,11,14,10,5,13,6,['Wind'],['C Axe']
Geese,Pirate,10,33,10,9,9,9,8,0,11,5,['Fire'],['B Axe']
Gonzales,Bandit,5,36,12,5,9,5,6,0,15,5,['Thunder'],['C Axe']
Gonzales (HM),Bandit,5,43,16,7,11,6,7,1,15,5,['Thunder'],['C Axe']
Guinevere,Sage,20,29,24,24,23,24,13,25,5,6,['Light'],"['A Staff', 'B Anima', 'S Light']"
Hector,General,20,43,18,20,10,15,30,15,20,5,['Thunder'],"['A Lance', 'A Axe']"
Hugh,Mage,15,26,13,11,12,10,9,9,7,5,['Wind'],['C Anima']
Igrene,Sniper,1,32,16,18,15,9,11,10,7,6,['Ice'],['B Bow']
Juno,Falcon Knight,9,33,11,14,16,14,8,12,7,8,['Light'],"['E Sword', 'A Lance']"
Karel,Swordmaster,19,44,20,28,23,18,15,13,9,6,['Light'],['S Sword']
Klein,Sniper,1,27,13,13,11,10,8,6,7,6,['Ice'],['A Bow']
Klein (HM),Sniper,1,33,16,16,13,13,9,7,7,6,['Ice'],['A Bow']
Lalum,Dancer,1,14,1,2,11,9,2,4,4,5,['Thunder'],
Lance,Cavalier,1,20,5,6,8,2,6,0,9,7,['Anima'],"['E Sword', 'D Lance']"
Lilina,Mage,1,16,5,5,4,4,2,7,4,5,['Light'],['C Anima']
Lott,Fighter,3,29,7,6,7,2,4,1,12,5,['Anima'],['D Axe']
