displayed,true
0,0.0
1,0.03
2,0.1
3,0.21
4,0.36
5,0.55
6,0.78
7,1.05
8,1.36
9,1.71
10,2.1
11,2.53
12,3.0
13,3.51
14,4.06
15,4.65
16,5.28
17,5.95
18,6.66
19,7.41
20,8.2
21,9.03
22,9.9
23,10.81
24,11.76
25,12.75
26,13.78
27,14.85
28,15.96
29,17.11
30,18.3
31,19.53
32,20.8
33,22.11
34,23.46
35,24.85
36,26.28
37,27.75
38,29.26
39,30.81
40,32.4
41,34.03
42,35.7
43,37.41
44,39.16
45,40.95
46,42.78
47,44.65
48,46.56
49,48.51
50,50.5
51,52.47
52,54.4
53,56.29
54,58.14
55,59.95
56,61.72
57,63.45
58,65.14
59,66.79
60,68.4
61,69.97
62,71.5
63,72.99
64,74.44
65,75.85
66,77.22
67,78.55
68,79.84
69,81.09
70,82.3
71,83.47
72,84.6
73,85.69
74,86.74
75,87.75
76,88.72
77,89.65
78,90.54
79,91.39
80,92.2
81,92.97
82,93.7
83,94.39
84,95.04
85,95.65
86,96.22
87,96.75
88,97.24
89,97.69
90,98.1
91,98.47
92,98.8
93,99.09
94,99.34
95,99.55
96,99.72
97,99.85
98,99.94
99,99.99
100,100.0
