joint_X_Y,percent
0,0.01
1,0.02
2,0.03
3,0.04
4,0.05
5,0.06
6,0.07
7,0.08
8,0.09
9,0.1
10,0.11
11,0.12
12,0.13
13,0.14
14,0.15
15,0.16
16,0.17
17,0.18
18,0.19
19,0.2
20,0.21
21,0.22
22,0.23
23,0.24
24,0.25
25,0.26
26,0.27
27,0.28
28,0.29
29,0.3
30,0.31
31,0.32
32,0.33
33,0.34
34,0.35
35,0.36
36,0.37
37,0.38
38,0.39
39,0.4
40,0.41
41,0.42
42,0.43
43,0.44
44,0.45
45,0.46
46,0.47
47,0.48
48,0.49
49,0.5
50,0.51
51,0.52
52,0.53
53,0.54
54,0.55
55,0.56
56,0.57
57,0.58
58,0.59
59,0.6
60,0.61
61,0.62
62,0.63
63,0.64
64,0.65
65,0.66
66,0.67
67,0.68
68,0.69
69,0.7
70,0.71
71,0.72
72,0.73
73,0.74
74,0.75
75,0.76
76,0.77
77,0.78
78,0.79
79,0.8
80,0.81
81,0.82
82,0.83
83,0.84
84,0.85
85,0.86
86,0.87
87,0.88
88,0.89
89,0.9
90,0.91
91,0.92
92,0.93
93,0.94
94,0.95
95,0.96
96,0.97
97,0.98
98,0.99
99,1.0
100,0.99
101,0.98
102,0.97
103,0.96
104,0.95
105,0.94
106,0.93
107,0.92
108,0.91
109,0.9
110,0.89
111,0.88
112,0.87
113,0.86
114,0.85
115,0.84
116,0.83
117,0.82
118,0.81
119,0.8
120,0.79
121,0.78
122,0.77
123,0.76
124,0.75
125,0.74
126,0.73
127,0.72
128,0.71
129,0.7
130,0.69
131,0.68
132,0.67
133,0.66
134,0.65
135,0.64
136,0.63
137,0.62
138,0.61
139,0.6
140,0.59
141,0.58
142,0.57
143,0.56
144,0.55
145,0.54
146,0.53
147,0.52
148,0.51
149,0.5
150,0.49
151,0.48
152,0.47
153,0.46
154,0.45
155,0.44
156,0.43
157,0.42
158,0.41
159,0.4
160,0.39
161,0.38
162,0.37
163,0.36
164,0.35
165,0.34
166,0.33
167,0.32
168,0.31
169,0.3
170,0.29
171,0.28
172,0.27
173,0.26
174,0.25
175,0.24
176,0.23
177,0.22
178,0.21
179,0.2
180,0.19
181,0.18
182,0.17
183,0.16
184,0.15
185,0.14
186,0.13
187,0.12
188,0.11
189,0.1
190,0.09
191,0.08
192,0.07
193,0.06
194,0.05
195,0.04
196,0.03
197,0.02
198,0.01
